,ROI1 number,region1,ROI2 number,region2
0,31,Right Superior Parietal Lobule,33,Right Supramarginal Gyrus; posterior division
1,31,Right Superior Parietal Lobule,38,Right Frontal Medial Cortex
2,11,Right Hippocampus,39,Right Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
3,11,Right Hippocampus,38,Right Frontal Medial Cortex
4,62,Left Frontal Pole,62,Left Frontal Pole
5,62,Left Frontal Pole,19,Right Inferior Frontal Gyrus; pars opercularis
6,62,Left Frontal Pole,51,Right Temporal Fusiform Cortex; posterior division
7,62,Left Frontal Pole,68,Left Precentral Gyrus
8,31,Right Superior Parietal Lobule,5,Left Amygdala
9,62,Left Frontal Pole,94,Left Frontal Orbital Cortex
10,29,Right Inferior Temporal Gyrus; temporooccipital part,11,Right Hippocampus
11,62,Left Frontal Pole,42,Right Cingulate Gyrus; anterior division
12,31,Right Superior Parietal Lobule,34,Right Angular Gyrus
13,34,Right Angular Gyrus,37,Right Intracalcarine Cortex
14,17,Right Middle Frontal Gyrus,17,Right Middle Frontal Gyrus
15,62,Left Frontal Pole,13,Right Accumbens
16,77,Left Inferior Temporal Gyrus; temporooccipital part,77,Left Inferior Temporal Gyrus; temporooccipital part
17,57,Right Planum Polare,97,Left Lingual Gyrus
18,11,Right Hippocampus,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex)
19,62,Left Frontal Pole,36,Right Lateral Occipital Cortex; inferior division
20,62,Left Frontal Pole,48,Right Parahippocampal Gyrus; posterior division
21,62,Left Frontal Pole,34,Right Angular Gyrus
22,40,Right Subcallosal Cortex,0,Left Thalamus
23,6,Left Accumbens,62,Left Frontal Pole
24,62,Left Frontal Pole,89,Left Paracingulate Gyrus
25,17,Right Middle Frontal Gyrus,44,Right Precuneous Cortex
26,57,Right Planum Polare,76,Left Inferior Temporal Gyrus; posterior division
27,62,Left Frontal Pole,83,Left Lateral Occipital Cortex; superior division
28,40,Right Subcallosal Cortex,7,Right Thalamus
29,29,Right Inferior Temporal Gyrus; temporooccipital part,5,Left Amygdala
30,31,Right Superior Parietal Lobule,82,Left Angular Gyrus
31,34,Right Angular Gyrus,9,Right Putamen
32,37,Right Intracalcarine Cortex,41,Right Paracingulate Gyrus
33,37,Right Intracalcarine Cortex,63,Left Insular Cortex
34,37,Right Intracalcarine Cortex,30,Right Postcentral Gyrus
35,62,Left Frontal Pole,63,Left Insular Cortex
36,62,Left Frontal Pole,66,Left Inferior Frontal Gyrus; pars triangularis
37,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),44,Right Precuneous Cortex
38,17,Right Middle Frontal Gyrus,102,Left Frontal Operculum Cortex
39,62,Left Frontal Pole,73,Left Middle Temporal Gyrus; posterior division
40,89,Left Paracingulate Gyrus,36,Right Lateral Occipital Cortex; inferior division
41,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),11,Right Hippocampus
42,62,Left Frontal Pole,100,Left Temporal Occipital Fusiform Cortex
43,62,Left Frontal Pole,37,Right Intracalcarine Cortex
44,87,Left Juxtapositional Lobule Cortex (formerly Supplementary Motor Cortex),5,Left Amygdala
45,62,Left Frontal Pole,69,Left Temporal Pole
46,34,Right Angular Gyrus,19,Right Inferior Frontal Gyrus; pars opercularis
47,76,Left Inferior Temporal Gyrus; posterior division,66,Left Inferior Frontal Gyrus; pars triangularis
48,62,Left Frontal Pole,105,Left Planum Polare
49,34,Right Angular Gyrus,105,Left Planum Polare
50,77,Left Inferior Temporal Gyrus; temporooccipital part,76,Left Inferior Temporal Gyrus; posterior division
51,31,Right Superior Parietal Lobule,31,Right Superior Parietal Lobule
52,57,Right Planum Polare,67,Left Inferior Frontal Gyrus; pars opercularis
53,35,Right Lateral Occipital Cortex; superior division,6,Left Accumbens
54,31,Right Superior Parietal Lobule,29,Right Inferior Temporal Gyrus; temporooccipital part
55,35,Right Lateral Occipital Cortex; superior division,9,Right Putamen
56,57,Right Planum Polare,69,Left Temporal Pole
57,31,Right Superior Parietal Lobule,4,Left Hippocampus
